NOMBRE DE PROVEEDOR,ESPECIALIDAD,SUBESPECIALIDAD,PUEBLO,TELEFONO,DIRECCIÌÒN FÌçSICA,Contry,Location
Monserrate Imaging Center ,RadiÌ_logo,,Carolina,787-762-3850,"Ave. Monserrate BA-25 Valle Arriba 
Heights Carolina, PR 00983",Puerto Rico,"Carolina, Puerto Rico
(18.442839984000443, -66.02399001499964)"
"Aguadilla Medical Services, Inc.",Terapia  ,FÌ_sica y Fisiatra,Aguadilla,787-882-0303,"Carr. #2 Km 129.3
Bo. Victoria
Aguadilla PR  00603",Puerto Rico,"Aguadilla, Puerto Rico
(18.434599981000474, -67.15518999199963)"
Carmen I. Marrero DBA Centro Terapia FÌ_sica Shalom,Terapia, FÌ_sica,ManatÌ_,787-884-4809,"Carr 149 KM.9  
ManatÌ_, PR 00674               ",Puerto Rico,"Manat&iacute;, Puerto Rico
"
Xcel Rehabilitation Corp..,Fisiatra,,Humacao,787-850-7393,"Urb. Condado Moderno 
M-13 Ave. Luis MuÌ±oz Marin 
Caguas, PR 00725",Puerto Rico,"Humacao, Puerto Rico
(18.151470017000463, -65.82337000899963)"
Teresita Morales PabÌ_n ,Fisiatra ,,Fajardo,787-860-1300,"Int Rehab del Este
C/General Valero 375
Fajardo, PR 00738",Puerto Rico,"Fajardo, Puerto Rico
(18.328119978000473, -65.65332000799964)"
"Primeros Auxilios, Inc. ",Ambulancia,,San Juan,787-272-1190,"Carr 842 1.4 Bo. Caimito Bajos 
San Juan, PR 00923",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
Aida L. Blasini Torres ,Internista,,San Juan,787-726-5037,"1503 Ave. Prof Augusto Rodriguez 
1St Piso 
San Juan, PR 00909",Puerto Rico,"San Juan, Puerto Rico
(18.46632997800043, -66.10474000399967)"
Anestesia del Caribe ,AnestesiÌ_logo,,Cayey,787-735-8001,"Hosp. Menonita Cayey
Bo.Rincon Sector Lomas 
Cayey, PR 00736",Puerto Rico,"Cayey, Puerto Rico
(18.114650009000457, -66.16996001699965)"
Carlos Morales Pagan ,Generalista ,,ManatÌ_,787-884-5946,"Villa Maria #7 Calle A
Manati, PR 00674",Puerto Rico,"Manat&iacute;, Puerto Rico
"
Dynamic MRI & 3D CT PSC,RadiÌ_logo,,BayamÌ_n,787-272-3182,"Calle Carazo 6
Guaynabo, PR 00969",Puerto Rico,"Bayam&oacute;n, Puerto Rico
"
